                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.8852,                 1.3069,                 1.2556,                0.68091,                0.53279,                0.59808,                0.29469,                 1.7605,                 1.1715,                 1.1754,                0.00835,                0.00835,                0.00835
                     52,                 1.8862,                 1.3037,                 1.2487,                0.64519,                0.54447,                0.58381,                0.28638,                 1.7929,                 1.1835,                  1.184,               0.008317,               0.008317,               0.008317
                     53,                 1.8864,                 1.3028,                 1.2445,                0.66013,                0.53504,                0.58671,                0.28413,                 1.7906,                  1.183,                 1.1844,               0.008284,               0.008284,               0.008284
                     54,                 1.8809,                 1.2941,                 1.2416,                 0.6517,                 0.5584,                0.60108,                0.29539,                 1.7549,                 1.1633,                 1.1643,               0.008251,               0.008251,               0.008251
                     55,                 1.8693,                 1.2895,                 1.2381,                 0.6567,                0.54492,                0.59825,                0.29362,                 1.7578,                 1.1659,                 1.1752,               0.008218,               0.008218,               0.008218
                     56,                 1.8725,                 1.2822,                 1.2355,                 0.6628,                0.54717,                0.59424,                0.29259,                 1.7645,                  1.166,                 1.1727,               0.008185,               0.008185,               0.008185
                     57,                   1.85,                 1.2627,                  1.232,                0.66414,                0.56469,                0.61806,                0.30322,                 1.7488,                 1.1476,                 1.1593,               0.008152,               0.008152,               0.008152
                     58,                 1.8409,                 1.2542,                 1.2263,                0.66714,                0.55526,                0.60584,                0.30134,                 1.7607,                 1.1567,                 1.1745,               0.008119,               0.008119,               0.008119
                     59,                 1.8353,                 1.2454,                 1.2251,                0.65585,                0.56828,                0.61729,                0.30553,                 1.7293,                 1.1264,                 1.1581,               0.008086,               0.008086,               0.008086
                     60,                 1.8345,                 1.2402,                 1.2195,                0.68532,                0.56355,                 0.6257,                0.30871,                 1.7357,                 1.1236,                 1.1594,               0.008053,               0.008053,               0.008053
                     61,                 1.8257,                 1.2309,                 1.2242,                0.68858,                0.57188,                  0.638,                0.32359,                  1.697,                 1.0937,                 1.1422,                0.00802,                0.00802,                0.00802
                     62,                 1.8037,                 1.2199,                 1.2129,                0.69451,                0.57278,                0.63835,                0.32256,                 1.6986,                 1.0988,                 1.1273,               0.007987,               0.007987,               0.007987
                     63,                 1.8175,                 1.2294,                 1.2199,                0.69479,                0.56828,                0.63958,                0.32404,                  1.702,                 1.0849,                 1.1438,               0.007954,               0.007954,               0.007954
                     64,                 1.7901,                 1.2075,                 1.2038,                0.70808,                0.57951,                0.64624,                0.33374,                 1.6719,                 1.0647,                 1.1316,               0.007921,               0.007921,               0.007921
                     65,                 1.7857,                 1.1902,                 1.1929,                0.73193,                 0.5566,                0.64603,                0.33486,                 1.6786,                 1.0743,                  1.141,               0.007888,               0.007888,               0.007888
                     66,                 1.7818,                 1.1944,                 1.1973,                0.71319,                0.58401,                0.65796,                0.34409,                  1.653,                 1.0374,                 1.1245,               0.007855,               0.007855,               0.007855
                     67,                 1.7806,                 1.1852,                 1.1942,                0.72656,                0.58252,                0.66104,                0.34137,                  1.656,                 1.0434,                 1.1232,               0.007822,               0.007822,               0.007822
                     68,                   1.77,                 1.1827,                  1.187,                0.71479,                0.58535,                0.66082,                0.34132,                 1.6529,                  1.042,                 1.1271,               0.007789,               0.007789,               0.007789
                     69,                 1.7689,                 1.1834,                 1.1893,                0.70531,                0.59479,                0.66919,                0.34695,                 1.6508,                 1.0421,                 1.1236,               0.007756,               0.007756,               0.007756
